TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,PrightAppRatio,RrightAppRatio,F1Score,AppRatio,hintRatio,BlankRatio,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
268.998,268.998,0,7.911705882,7.911705882,13.52957168,0.24,1,0.387096774,1,0,0,0.359015927,0.131476407,0.954091892,0.380399397,0.930111632,0.215962272,0.318336633,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,268.998,268.998,0,7.911705882,5.24969423,7.911705882,0.24,1,0.387096774,1,0,0,164.8392672,125.7966863,260.6786393,31.91924912,60.61856213,99.6955
47.158,0,47.158,5.239777778,5.730519118,13.51150278,0.166056337,0,0.323480324,0,0,1,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,316.156,268.998,47.158,7.352465116,5.239777778,7.911705882,0.24,0.5,0.324324324,0.757575758,0,0.242424242,264.2295038,213.6990389,510.6006303,33.5009639,54.88639744,63.2005
1242.01,1242.01,0,10.01620968,10.01620968,14.288877,0.1,1.666666667,0.188679245,1,0,0,0.633317763,0.131476407,0.994991609,0.086830037,0.930111632,0.554326029,0.590323384,0.104870956,0.011340922,0.011340922,0.029169644,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,1558.166,1511.008,47.158,9.330335329,5.239777778,9.563341772,0.128,0.888888889,0.223776224,0.939849624,0,0.060150376,705.756679,705.756679,623.5281073,0,0,506.664
402.849,402.849,0,7.324527273,7.324527273,13.7973379,0.085106383,0.8,0.153846154,1,0,0,0.201572846,0.118561049,0.802733711,0.022533424,0.930111632,0.554326029,0.656378382,0.104870956,0.043154774,0.011522626,0.092393445,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.018611481,402.849,402.849,0,7.324527273,5.24969423,7.324527273,0.085106383,0.8,0.153846154,1,0,0,136.7717735,113.2824938,220.7980538,18.59096443,32.38021109,67.9345
17.809,0,17.809,1.619,5.730519118,13.78700284,0.166056337,0,0.323480324,0,0,1,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,420.658,402.849,17.809,6.373606061,1.619,7.324527273,0.085106383,0.307692308,0.133333333,0.824561404,0,0.175438596,88.52143265,58.20607937,172.7969031,27.74632016,35.8557963,41.78
838.069,838.069,0,13.09482813,13.09482813,14.59857619,0.150943396,1.333333333,0.271186441,1,0,0,0.04279485,0.027667618,0.802733711,0.074459783,0.930111632,0.673713928,0.854859581,0.104870956,0.043154774,0.094231852,0.205840617,0.01,0.011340922,0.01,0.01155063,0.011340922,0.011522626,0.011522626,0.018611481,1258.727,1240.918,17.809,9.682515385,1.619,10.42788235,0.12,0.631578947,0.201680672,0.909090909,0,0.090909091,537.6418304,537.6411391,788.7727724,0.00060687,0.009823053,354.852
287.367,287.367,0,11.49468,11.49468,14.67852856,0.1,0.285714286,0.148148148,1,0,0,0.04279485,0.027667618,0.802733711,0.074459783,0.930111632,0.864265587,0.854859581,0.091943691,0.043154774,0.094231852,0.205840617,0.01,0.011340922,0.01,0.01155063,0.011340922,0.011522626,0.011522626,0.018611481,287.367,287.367,0,11.49468,5.24969423,11.49468,0.1,0.285714286,0.148148148,1,0,0,142.0847729,117.483358,185.2095986,20.56411654,40.87964397,78.412
6.409,0,6.409,2.136333333,5.730519118,14.66979389,0.166056337,0,0.323480324,0,0,1,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,293.776,287.367,6.409,10.492,2.136333333,11.49468,0.1,0.153846154,0.121212121,0.909090909,0,0.090909091,112.6867266,102.5303282,313.4651755,7.518393939,16.41704625,5.8105
1100.452,1100.452,0,9.020098361,9.020098361,12.78322476,0.147058824,2.5,0.277777778,1,0,0,0.092892194,0.020719735,0.976555517,0.139070381,0.930111632,0.951611014,0.458389695,0.091943691,0.128746564,0.263073331,0.345505272,0.052450453,0.021932712,0.024655882,0.011551145,0.011340922,0.011522626,0.011522626,0.011682198,1394.228,1387.819,6.409,9.294853333,2.136333333,9.440945578,0.139344262,0.894736842,0.241134752,0.983870968,0,0.016129032,457.3999871,457.3999871,605.6075083,0,0,303.571
49.027,0,49.027,8.171166667,5.730519118,0.375473701,0.166056337,0,0.323480324,0,0,1,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,49.027,0,49.027,8.171166667,8.171166667,6.100940583,0.160948709,0,0.268913966,0,0,1,472.5291424,402.2476603,754.2226573,48.0436209,85.89333199,226.8775
