1,1,2,2,2,2,2,2,3,3,3,3,4,5,6,7,8,9,13,16,19,22,25,27,30,33,36,39,41,44,47,50,53
1,1,1,1,2,2,2,2,2,2,3,2,3,4,5,5,6,7,22,27,31,36,40,45,50,54,59,63,68,72,77,81,86
1,1,1,1,2,2,2,2,2,2,3,2,3,4,5,6,7,7,6,8,9,10,12,13,14,16,17,18,20,21,22,24,25
3,3,4,4,5,5,5,6,6,6,7,2,3,4,5,6,7,8,21,26,30,34,39,43,47,52,56,60,65,69,74,78,82
3,4,4,5,5,5,6,6,6,7,7,3,4,5,6,7,8,10,20,24,28,33,37,41,45,49,53,57,61,66,70,74,78
3,3,3,4,4,4,5,5,5,6,6,2,3,4,4,5,6,7,19,23,27,31,34,38,42,46,50,54,58,62,65,69,73
4,4,5,5,5,6,6,7,7,7,8,2,3,4,5,5,6,7,21,26,30,34,39,43,47,52,56,60,65,69,73,78,82
5,6,6,7,7,8,8,9,9,10,10,2,3,4,5,6,6,7,16,19,23,26,29,33,36,39,43,46,49,53,56,59,63
6,6,7,7,8,9,9,10,11,11,12,2,3,3,4,5,6,7,24,29,34,39,44,49,54,59,64,69,74,79,84,89,94
7,8,9,9,10,11,12,12,13,14,15,2,3,4,4,5,6,7,23,27,32,37,41,46,51,55,60,65,69,74,78,83,88
8,8,9,10,11,12,12,13,14,15,16,2,2,3,4,5,5,6,27,32,38,43,48,54,59,65,70,76,81,86,92,97,103
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,21,26,30,34,39,43,47,52,56,60,65,69,73,78,82
2,3,3,3,4,4,4,5,5,5,5,3,4,5,6,7,8,9,21,26,30,34,39,43,47,52,56,60,65,69,73,78,82
3,3,4,4,4,5,5,5,6,6,6,2,3,4,5,6,6,7,19,23,27,31,35,39,43,46,50,54,58,62,66,70,74
3,3,4,4,4,5,5,5,6,6,6,2,3,4,4,5,6,7,22,27,31,36,40,45,49,54,58,63,68,72,77,81,86
3,4,4,4,5,5,5,6,6,6,7,2,3,3,4,5,6,7,25,30,35,40,45,50,55,60,65,70,75,80,85,90,96
3,4,4,4,5,5,5,6,6,7,7,2,3,3,4,5,6,7,21,26,30,34,39,43,48,52,56,61,65,69,74,78,83
3,4,4,5,5,5,6,6,7,7,7,2,3,3,4,5,6,7,26,31,36,41,46,52,57,62,67,73,78,83,88,93,99
4,4,4,5,5,6,6,7,7,7,8,2,3,3,4,5,6,7,18,21,25,29,32,36,40,43,47,51,54,58,61,65,69
6,6,7,7,8,9,9,10,10,11,12,2,3,4,5,6,6,7,24,29,33,38,43,48,53,58,62,67,72,77,82,87,92
6,6,7,7,8,9,9,10,10,11,12,2,2,3,4,5,5,6,20,24,28,32,36,40,44,49,53,57,61,65,69,73,77
6,7,8,8,9,10,10,11,12,12,13,2,3,3,4,5,6,6,24,29,34,39,44,49,54,59,64,69,74,79,84,89,94
7,7,8,9,9,10,11,11,12,13,14,2,2,3,4,5,5,6,21,25,29,34,38,42,46,51,55,59,63,68,72,76,80
0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,8,24,29,34,39,44,49,54,59,64,69,74,79,84,88,93
0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,7,19,23,26,30,34,38,42,46,50,53,57,61,65,69,73
1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,6,7,8,8,9,11,12,14,16,17,19,20,22,24,25,27,28,30
1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,6,7,23,28,33,38,43,47,52,57,62,67,71,76,81,86,91
2,3,3,3,3,4,4,4,5,5,5,2,3,4,5,6,7,8,24,29,34,39,44,49,54,59,64,69,74,79,84,89,94
3,4,4,5,5,5,6,6,7,7,7,2,3,4,5,6,7,8,25,30,36,41,46,51,56,61,67,72,77,82,87,92,98
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,27,33,38,44,49,55,60,66,71,77,82,88,93,99,104
1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,6,7,8,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37
1,1,1,1,2,2,2,2,2,2,3,2,3,4,5,5,6,7,26,31,36,41,47,52,57,62,68,73,78,83,89,94,99
1,1,2,2,2,2,2,2,3,3,3,2,3,4,5,5,6,7,24,29,34,38,43,48,53,58,63,68,72,77,82,87,92
1,2,2,2,2,2,3,3,3,3,3,2,3,4,5,5,6,7,19,23,27,30,34,38,42,46,50,54,58,61,65,69,73
2,2,2,2,2,3,3,3,3,3,4,2,3,4,5,5,6,7,19,23,27,30,34,38,42,46,50,54,57,61,65,69,73
6,7,8,8,9,10,10,11,12,12,13,3,4,5,6,7,8,9,24,28,33,38,43,48,53,57,62,67,72,77,82,86,91
6,7,7,8,9,9,10,11,11,12,13,2,3,3,4,5,6,6,23,28,32,37,42,47,51,56,61,65,70,75,79,84,89
2,2,3,3,3,3,4,4,4,4,5,3,4,5,6,7,8,9,28,33,39,44,50,56,61,67,73,78,84,89,95,101,106
1,2,2,2,2,2,3,3,3,3,3,2,3,4,4,5,6,7,23,28,33,38,42,47,52,57,61,66,71,76,80,85,90
3,3,3,4,4,4,5,5,5,6,6,2,3,4,5,6,7,8,13,16,19,22,24,27,30,33,35,38,41,44,46,49,52
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,12,14,17,19,21,24,26,29,31,34,36,38,41,43,46
1,1,1,1,1,1,2,2,2,2,2,2,3,4,5,6,7,8,24,29,34,38,43,48,53,58,63,68,73,77,82,87,92
3,3,3,4,4,4,5,5,5,6,6,3,4,5,6,7,8,9,9,11,13,14,16,18,20,22,24,26,28,29,31,33,35
3,3,3,4,4,4,5,5,5,6,6,2,3,4,4,5,6,7,19,23,27,31,34,38,42,46,50,54,58,62,65,69,73
0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,8,17,20,23,27,30,34,37,40,44,47,51,54,58,61,64
0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,6,7,8,22,26,30,35,39,44,48,52,57,61,66,70,75,79,83
1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,7,8,11,13,15,17,20,22,24,26,28,31,33,35,37,40,42
0,0,1,1,1,1,1,1,1,1,1,2,3,4,5,6,6,7,20,24,28,32,37,41,45,49,53,57,61,65,70,74,78
1,1,1,2,2,2,2,2,2,3,3,2,3,4,5,6,7,8,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,6,7,7,19,23,27,30,34,38,42,46,50,54,57,61,65,69,73
4,4,5,5,6,6,6,7,7,8,8,3,4,5,6,7,8,9,10,12,14,16,19,21,23,25,27,29,31,33,36,38,40
3,3,4,4,5,5,5,6,6,6,7,3,4,5,6,7,8,9,28,34,40,46,52,57,63,69,75,81,86,92,98,104,110
2,3,3,3,4,4,4,4,5,5,5,2,3,3,4,5,6,7,25,30,35,41,46,51,56,61,66,71,77,82,87,92,97
8,9,10,11,12,13,14,15,15,16,17,3,4,5,7,8,9,10,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56
0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,6,7,8,26,31,36,41,46,52,57,62,67,72,78,83,88,93,99
0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,6,7,24,29,34,38,43,48,53,58,63,68,72,77,82,87,92
1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,7,8,14,16,19,22,25,28,30,33,36,39,42,44,47,50,53
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,12,14,17,19,22,24,26,29,31,34,36,39,41,44,46
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,22,27,32,36,41,45,50,55,59,64,68,73,78,82,87
4,5,5,6,6,7,7,8,8,9,9,3,4,5,7,8,9,10,12,14,17,19,22,24,26,29,31,34,36,39,41,44,46
4,5,5,5,6,6,7,7,8,8,9,2,3,4,4,5,6,7,19,23,26,30,34,38,42,46,50,53,57,61,65,69,73
8,9,10,11,12,13,14,15,15,16,17,4,5,6,8,9,11,12,26,31,36,41,47,52,57,62,67,73,78,83,88,94,99
7,7,8,9,9,10,11,11,12,13,14,2,2,3,4,4,5,6,17,21,24,28,32,35,39,42,46,49,53,57,60,64,67
16,17,19,20,22,24,25,27,28,30,32,3,4,5,7,8,9,10,29,35,40,46,52,58,64,70,75,81,87,93,99,105,111
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,7,8,21,26,30,34,39,43,47,52,56,60,65,69,73,78,82
1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,6,7,8,19,23,27,31,35,39,43,47,51,54,58,62,66,70,74
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,24,28,33,38,43,48,53,57,62,67,72,77,82,86,91
7,7,8,9,9,10,11,11,12,13,14,3,5,6,7,8,10,11,26,32,37,42,48,53,58,64,69,74,80,85,90,96,101
7,7,8,9,10,10,11,12,12,13,14,2,3,4,5,5,6,7,7,8,10,11,12,14,15,17,18,20,21,23,24,25,27
7,8,8,9,10,11,11,12,13,14,14,2,2,3,4,5,5,6,17,21,24,28,31,35,38,42,45,49,52,56,59,63,66
1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,6,7,8,26,31,36,42,47,52,57,63,68,73,79,84,89,94,100
1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,5,6,7,26,31,36,42,47,52,58,63,68,73,79,84,89,95,100
3,3,3,4,4,4,5,5,5,6,6,3,4,5,6,7,8,9,11,13,15,17,20,22,24,26,29,31,33,35,38,40,42
2,2,2,2,3,3,3,3,3,4,4,2,3,4,5,6,7,8,27,33,38,44,49,55,61,66,72,77,83,88,94,99,105
1,1,2,2,2,2,2,3,3,3,3,2,3,4,5,5,6,7,23,28,33,38,43,47,52,57,62,67,71,76,81,86,90
3,3,4,4,4,5,5,5,6,6,7,2,3,4,5,6,7,8,14,17,20,23,25,28,31,34,37,40,43,46,49,51,54
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,12,14,17,19,21,24,26,29,31,34,36,38,41,43,46
1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,7,8,24,29,34,39,44,49,53,58,63,68,73,78,83,88,93
2,2,2,2,2,3,3,3,3,4,4,2,3,4,5,6,7,8,7,9,10,12,14,15,17,18,20,21,23,25,26,28,29
2,3,3,3,3,4,4,4,4,5,5,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,16,19,23,26,29,32,36,39,42,46,49,52,56,59,62
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,22,27,31,36,40,45,49,54,58,63,67,72,76,81,85
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
1,1,1,2,2,2,2,2,2,3,3,2,3,4,5,6,7,8,22,27,31,36,40,45,49,54,58,63,67,72,76,81,85
1,1,2,2,2,2,2,3,3,3,3,2,3,4,5,6,7,7,19,23,27,31,34,38,42,46,50,54,58,62,65,69,73
2,2,3,3,3,4,4,4,4,5,5,3,4,5,6,7,8,9,27,32,37,43,48,54,59,64,70,75,81,86,91,97,102
