0,1,2
-340.558041622,-159.296761143,-1.787838592
-1290.23254584,-13.4410922026,-183.518001756
-1288.3873254,-89.3054214512,13.2162896312
-844.371946191,131.450587014,154.002429777
-1307.07777431,-29.492003315,-144.137338256
-429.090381654,405.910550727,81.3577747381
-398.11147765,-179.15400275,107.867309918
-305.688715011,-282.825475311,146.918090885
-1136.83839394,-7.0823410302,246.011426747
-1102.59467913,-81.3608915342,-29.7537445125
946.776279514,1136.83683675,-408.085716745
1371.4307665,1370.93351894,622.863448925
822.019140523,-715.480134887,272.997906265
1412.64213768,-228.016534607,-585.885123019
-294.371608144,445.607588221,424.673686696
-468.800732375,-330.281890028,212.281686195
224.607672589,142.851079082,-307.641640573
-1278.45853516,39.4293124669,-415.756602866
-1298.08644742,-130.025184995,168.908997143
-607.867480216,416.36144988,-590.136653328
-727.59548195,-221.992625537,-15.3255116567
149.433437715,371.554669216,-588.549943186
525.980486142,-117.826213629,24.1386021566
-1278.88834949,-7.382569243,-182.88182807
-1262.07720376,-82.5523781898,13.2831805636
-681.910719198,202.556057158,169.684792041
-1300.10739094,47.3029223102,-525.364337898
-1311.40168913,-97.534416413,45.6666335826
-854.37500478,169.274122855,26.582193941
-1347.24412355,-123.68821509,218.700644551
-464.292872065,409.931216503,85.9230361118
-250.33263931,90.5572630546,-637.904583294
-1326.6985063,-123.921801744,273.924703489
-1325.90191266,-156.864232548,358.679616517
2048.4461903,1893.05296968,-138.507157429
-1180.60803897,-45.2422961687,310.658656948
-1212.26360983,-166.994485276,238.731838795
-996.369331721,72.6767715783,-337.40047039
7422.76371145,4859.85649202,708.440599205
5607.87028936,-1942.86963665,-109.295146313
5604.49789745,-1833.88783552,-966.704905585
7413.10667758,-965.394391232,-53.1489349723
296.27643785,866.326616314,24.5762897647
49.985894169,-377.057548894,-31.0918976413
322.443533952,-311.90297682,77.3331450831
-167.878611445,675.166835547,-376.831964708
-361.456517726,-305.664373664,13.7805504279
843.007156669,335.193341489,84.0978031328
-398.902042238,401.626820567,340.961178657
-576.36875548,-266.929181347,-56.9063775
238.640362923,301.133988464,-588.354467239
-1312.38052068,-116.271732501,274.71777164
-1263.38786882,-132.675711652,360.385772584
15678.4702907,9398.91250138,1603.41586716
-678.081646217,233.082766757,375.320245598
-775.092867232,-251.249198827,224.595827333
319.96100955,447.787051886,-243.06672831
-553.046475715,442.450925479,-317.829848912
-661.421841825,-247.968262305,151.817976471
-660.529019947,-127.14369233,-703.509903398
282.218376907,261.024944646,98.5147515192
404.753514341,926.416094201,38.5103396142
151.016381615,-390.291717314,-28.7127481731
560.691016265,-259.947839556,93.8872263508
1143.47793589,-163.955559144,-178.598929219
1436.17338829,-536.109382205,257.079848635
2068.44672297,-452.203161163,175.92207614
2308.04133995,-845.573990253,385.090155608
-1325.52437772,33.723476053,-526.774695734
-970.756064146,108.019662182,94.4421116587
7.4824133912,429.707983397,94.0818358155
224.459900157,-137.545744125,-20.3770387625
242.693142638,-459.113216796,147.258478498
323.420372216,-518.996063008,284.895652795
333.728622531,-548.352873605,102.354303909
464.634444587,-539.237959902,329.186035513
547.17356313,-504.247565824,-91.5079169144
1403.71500622,-142.855027305,229.187726973
1399.83125141,-700.820734219,27.0152686077
1707.2610167,-694.564763701,268.495071694
1865.01091892,-800.033694308,72.3280777423
-1064.81195081,32.814888059,255.268894352
-1099.30656388,-125.152724559,-35.0792274507
-809.712516239,152.393473735,-634.064225247
-689.326000994,-146.135461104,216.270878107
-77.6941499275,67.9661385918,265.889204162
458.952714749,-71.0091820486,314.445928307
-1339.42400487,-130.72119383,273.21980935
-988.940187034,38.2927703349,404.855198167
-718.683618245,144.119322748,-538.349895016
-659.70654673,-220.298242246,335.219327007
-568.95804095,-244.951184274,233.386451253
-484.572399243,-227.967125514,-30.3228225488
-404.078906446,-253.146057746,-34.3223879831
1720.58416729,855.200111838,224.934829436
1673.09334144,-608.138366923,190.536684229
-204.120177885,495.593414174,436.292765979
-446.769572871,-375.599950009,206.641481216
97.1830861121,45.9230735172,-327.247533679
-1266.55623883,45.7881747493,-415.101108378
-768.205087786,155.652894174,235.018385751
160.574447066,497.00556435,-562.962023307
90.8440830551,-340.328825968,-28.5062631182
-1080.36093242,103.870357156,-152.549600614
-1047.14086805,-92.5478324095,13.1396936557
-852.157089413,-59.0513779711,113.510782354
-885.97025523,277.451392272,-469.230703068
-960.888741448,-171.76148593,35.3478129324
-607.393425742,21.0132813957,0.1022468621
-905.864016576,120.851543808,275.713481493
-842.490772035,-88.467199295,-32.9673841866
611.259985689,749.343782175,-496.485025809
288.845542534,771.345584687,483.556097673
-39.7257542786,-491.188319587,307.837632795
2689.91745282,1189.16319643,-274.418905611
-1051.57237698,26.2250789381,327.256481477
-1109.90838109,-193.920565413,234.555213305
-675.960395539,165.772472325,-313.642844182
-1189.65804666,86.8665598809,-410.793943052
-1225.61396079,-148.442188028,161.969939269
915.23307463,1200.09335681,-410.667972322
739.987660789,-408.363888608,-36.9235935133
2673.84757,2183.15360603,330.48826103
1865.10769913,-911.005845909,-111.928711898
5973.4852402,1310.20815293,495.417545145
-1270.5009706,63.1215974859,-523.721342271
-878.354380896,122.917164061,96.3914187303
-720.366192616,-41.2702867624,-16.0666667896
-1224.09295319,-57.8882558193,225.529210493
1850.93056382,1611.08379137,361.460920667
1918.11294502,-226.142223991,-677.833571937
2012.30192666,-777.33297583,-129.312592124
-804.324509936,165.882173809,342.920361043
-876.998923869,-247.137026396,344.861828429
93.6582024657,446.237724003,-465.900697756
-360.501931151,408.977270643,416.179414259
-530.483765563,-321.417112022,213.920375529
256.378153415,209.76012887,-292.921225109
-1247.25767042,56.1031081337,-414.047975179
-671.831769941,196.311159125,243.925799527
-373.541692836,135.947529687,-646.031376018
-101.402720127,-114.936699214,14.4028197744
-1300.40013746,-18.8744870667,-184.078193512
-1309.9025742,-94.2611861952,13.2794756091
-973.113199403,75.7047749493,141.730408718
-1318.29845996,37.5828679921,-526.373948892
-591.900656502,313.055903186,141.935579196
-542.992645358,-121.676625391,-27.943684692
-113.259202581,559.825794416,377.720696707
-351.030176772,-327.2023556,-66.2079601713
2040.0939641,1112.93767664,-395.001801188
1534.37373225,-894.053501092,93.6476653979
1746.12886229,-804.255000078,181.431886258
2229.97522768,-663.35396737,151.225151117
2541.87616783,-834.064286846,117.106208053
3085.89745593,-808.493325826,133.529495622
2978.33568291,-1280.07615364,31.2880106047
4548.54445837,-429.583802937,232.711767333
5055.92901926,-1171.88657072,83.3825724912
5609.74300753,-1412.73239452,44.945767899
-1335.59703776,-100.57709342,127.256591809
-1068.61507296,13.2589877492,289.844501667
-1052.01253911,-168.942405743,340.145039558
-815.301660526,-69.2911276236,266.089981957
-1293.42619237,-129.941216866,407.023336842
-1001.51330596,43.4610938098,176.425315017
-1030.32820881,-199.623058975,288.687544371
-995.396984607,-163.776920082,76.8523640226
-465.373302222,103.557114948,139.635796026
-214.888464723,-155.555929183,353.95679531
-803.367267254,303.803213486,-350.024083631
-914.20451253,-224.71203948,156.911755703
-879.449609877,-49.452845715,-689.555151878
-267.721760719,141.1983267,67.4659854035
-1293.87543884,-15.3883377528,-183.717778787
-1280.77977463,-82.8980913097,14.0888092546
-976.304012378,53.8583708022,135.790860153
-1306.55849356,43.8551327286,-525.722513584
-1060.55508082,45.7524007106,79.5086286918
-900.897900283,-18.0076746155,-12.1975021826
-1225.95147178,-58.8903051783,225.456479458
-82.6900585837,541.348779754,113.026328482
540.278071634,263.621430027,-596.345748143
-1302.95116637,-111.234087292,275.239981425
-1089.84233188,-41.6303173086,385.260900403
-377.583513616,393.093523726,-483.686881136
-1230.74735732,-95.2272470399,415.091077642
-1238.69881992,-128.796305185,136.483382907
-1174.07934194,-135.132647574,297.119181727
-524.681023947,220.8964393,160.934634919
47.0859042443,774.832728021,-240.613044815
-132.742405432,-345.070315478,135.332613704
