student,currProb,course,session,priorTutorAction,reward,cumul_Interaction,Level,0,1,2,3,4,5
0010-F14,3.1.1.0,226-001-BARNES-F14,8,PS,0,81,3,0,0,0,0,0,0
0010-F14,3.1.2.0,226-001-BARNES-F14,8,WE,0,94,3,0,0,0,0,0,0
0010-F14,3.1.3.0,226-001-BARNES-F14,8,PS,-95.69225749,194,3,0,0,0,0,0,0
0010-F14,4.1.1.0,226-001-BARNES-F14,9,PS,0,92,4,0,0,0,0,0,0
0010-F14,4.1.2.0,226-001-BARNES-F14,10,WE,0,102,4,0,0,0,0,0,0
0010-F14,4.1.3.0,226-001-BARNES-F14,10,PS,34.92545076,184,4,0,0,0,0,0,0
0010-F14,5.1.1.0,226-001-BARNES-F14,10,WE,0,8,5,0,0,0,0,0,0
0010-F14,5.1.2.0,226-001-BARNES-F14,10,WE,0,18,5,0,0,0,0,0,0
0010-F14,5.1.3.0,226-001-BARNES-F14,10,PS,-66.96428571,1503,5,7,3,3,3,0,0
0010-F14,6.1.1.0,226-001-BARNES-F14,10,PS,0,69,6,0,0,0,0,0,0
0010-F14,6.1.2.0,226-001-BARNES-F14,10,WE,0,72,6,0,0,0,0,0,0
0010-F14,6.1.3.0,226-001-BARNES-F14,10,PS,70.09345794,182,6,0,0,0,0,0,0
0012-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,39,1,0,0,0,0,0,0
0012-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,45,1,0,0,0,0,0,0
0012-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,51,1,0,0,0,0,0,0
0012-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-17.76315789,155,1,0,0,0,0,1,1
0012-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0,61,2,0,0,0,0,0,0
0012-F14,2.1.2.0,226-001-BARNES-F14,6,WE,0,73,2,0,0,3,0,0,0
0012-F14,2.1.3.0,226-001-BARNES-F14,6,PS,0,89,2,0,0,0,1,0,0
0012-F14,2.1.1.0,226-001-BARNES-F14,6,PS,0,119,2,0,0,0,0,0,0
0012-F14,2.-1.4.0,226-001-BARNES-F14,6,PS,0,137,2,0,0,0,1,0,0
