,student,currProb,course,session,priorTutorAction,reward,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,difficultProblemCountWE,easyProblemCountSolved,easyProblemCountWE,probAlternate,easyProbAlternate,RuleTypesCount,UseCount,PrepCount,MorphCount,OptionalCount,NewLevel,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,probIndexPSinLevel,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_difficultProblemCountSolved,cumul_difficultProblemCountWE,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_NumProbRule,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
20,0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0,14,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,2,5,1,0,0,0,1,0,1,0,3,3,3,3,0,4,0,3,12,0,12,0,12,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,2,5,1,0,0,1,4,3,3,3,0,4,0,2,17,0,17,0,17,0,5,12,7,0,2,0,0,5,0,0,3,2,1,2,5,5,1
21,0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,7,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,2,0,2,6,0,6,0,6,0,6,0,0,0,9,0,0,6,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,27,0,0,0,1,2,2,2,3,0,0,0,0,0,0,0,2,5,1,0,0,2,5,3,3,3,0,4,0,2,23,0,23,0,23,0,11,12,5,0,4,0,0,11,0,0,4,8,7,9,4,5,2
22,0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,14,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,3,2,4,4,0,0,0,5,0,4,12,0,12,0,12,0,0,12,9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,1,2,2,4,0,0,0,0,0,0,0,2,7,3,0,0,3,9,7,3,3,0,5,0,3,35,0,35,0,35,0,11,24,6,0,3,0,0,11,0,0,4,3,3,3,0,0,2
23,0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,29,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,2,3,3,0,0,1,1,0,0,0,8,6,0,0,0,4,0,3,23,0,23,0,23,0,0,23,9,0,0,0,0,0,0,0,5,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,3,3,0,0,0,8,6,0,0,0,4,0,3,23,0,23,0,23,0,0,23,9,0,0,0,0,0,0,0,4,4,4,5,6,6,2
24,0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,7,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,2,6,0,6,0,6,0,6,0,0,0,9,0,0,6,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,2,3,3,0,0,1,9,6,0,0,0,4,0,3,29,0,29,0,29,0,6,23,7,0,2,0,0,6,0,0,4,2,2,4,7,5,1
25,0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,20,0,0,0,0,0,0,2,1,0,2,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,2,1,7,4,0,0,0,4,0,3,15,0,15,0,15,0,0,15,9,0,0,0,0,0,0,0,5,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,1,1,1,3,0,2,1,0,0,0,0,2,5,5,0,0,2,16,10,0,0,0,4,0,3,44,0,44,0,44,0,6,38,8,0,1,0,0,6,0,0,4,2,2,2,0,0,2
26,0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,26,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,0,2,3,4,0,0,1,1,0,0,0,7,7,0,0,0,5,0,4,21,0,21,0,21,0,0,21,9,0,0,0,0,0,0,0,9,1,9,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,3,4,0,0,0,7,7,0,0,0,5,0,4,21,0,21,0,21,0,0,21,9,0,0,0,0,0,0,0,4,7,6,8,5,5,2
27,0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,11,0,0,0,1,1,0,2,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,2,10,0,10,0,10,0,10,0,0,0,9,0,0,10,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,37,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,2,3,4,0,0,1,8,7,0,0,0,5,0,3,31,0,31,0,31,0,10,21,6,0,3,0,0,10,0,0,6,2,2,4,8,7,1
28,0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446,27,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,0,2,3,4,0,0,0,0,0,2,1,7,7,0,0,0,5,0,4,22,0,22,0,22,0,0,22,9,0,0,0,0,0,0,0,9,2,9,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,1,1,1,3,0,2,1,0,0,0,0,2,6,8,0,0,2,15,14,0,0,0,5,0,3,53,0,53,0,53,0,10,43,8,0,1,0,0,10,0,0,6,4,4,3,0,0,3
29,0008-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,21,0,0,0,0,0,0,1,1,0,4,1,1,0,0,0,0,0,2,4,2,0,0,1,1,0,0,0,5,6,0,0,0,5,0,4,18,0,18,0,18,0,0,18,9,0,0,0,0,0,0,0,9,5,9,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,4,2,0,0,0,5,6,0,0,0,5,0,4,18,0,18,0,18,0,0,18,9,0,0,0,0,0,0,0,4,2,1,1,6,7,1
30,0008-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,9,0,0,0,0,0,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,2,8,0,8,0,8,0,8,0,0,0,9,0,0,8,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,30,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,2,4,2,0,0,1,6,6,0,0,0,5,0,3,26,0,26,0,26,0,8,18,6,0,3,0,0,8,0,0,5,3,2,4,6,6,1
31,0008-F14,4.1.3.0,226-001-BARNES-F14,1,PS,9.514563107,32,0,0,0,0,1,1,2,1,0,4,1,1,0,0,0,0,0,2,4,3,0,0,0,0,0,2,1,4,6,1,0,1,3,0,2,30,0,30,0,30,0,0,30,9,0,0,3,0,0,0,0,9,5,9,7,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,1,1,2,3,0,2,1,0,0,0,0,2,8,5,0,0,2,10,12,1,0,1,4,0,3,56,0,56,0,56,0,8,48,8,0,1,3,0,8,0,0,5,9,9,5,0,0,9
32,0008-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,15,0,0,0,0,0,0,2,1,0,5,1,1,0,0,0,0,0,2,2,0,2,0,1,1,0,0,0,5,4,0,0,0,5,0,4,12,0,12,0,12,0,0,12,9,0,0,0,0,0,0,0,9,7,9,7,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,2,0,2,0,0,5,4,0,0,0,5,0,4,12,0,12,0,12,0,0,12,9,0,0,0,0,0,0,0,5,1,1,1,3,3,1
33,0008-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,11,0,0,0,0,0,0,2,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,2,10,0,10,0,10,0,10,0,0,0,9,0,0,10,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,26,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,2,2,0,2,0,1,6,4,0,0,0,5,0,2,22,0,22,0,22,0,10,12,5,0,4,0,0,10,0,0,6,0,0,1,5,4,0
34,0008-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0.0,35,0,0,0,0,1,1,2,1,0,5,1,1,0,0,0,0,0,3,2,5,3,0,0,0,0,2,1,2,9,1,1,0,4,0,3,35,0,9,26,35,0,2,33,9,0,0,1,0,0,0,0,9,7,9,7,3,7,6,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,1,0,2,3,0,2,1,0,0,0,0,3,4,5,5,0,2,8,13,1,1,0,5,0,3,57,0,31,26,57,0,12,45,7,0,2,1,0,10,0,0,5,7,7,7,0,0,7
