student,currProb,course,session,priorTutorAction,reward
0012-F14,5.-1.4.0,226-001-BARNES-F14,11,PS,0.0
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0.0
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0.0
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0.0
0012-F14,5.-1.4.0,226-001-BARNES-F14,12,PS,46.42857143
0012-F14,6.1.1.0,226-001-BARNES-F14,12,PS,0.0
0012-F14,6.1.2.0,226-001-BARNES-F14,12,WE,0.0
0012-F14,6.1.3.0,226-001-BARNES-F14,12,PS,78.27102804
0016-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0
0016-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0
0016-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0
0016-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368
0016-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0
0016-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0
0016-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875
0016-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0
0016-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0
0016-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446
0016-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0
0016-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0.0
0016-F14,4.1.3.0,226-001-BARNES-F14,2,PS,-69.23543689
0016-F14,5.1.1.0,226-001-BARNES-F14,3,PS,0.0
0016-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0.0
0016-F14,5.1.3.0,226-001-BARNES-F14,3,PS,-67.85287081
0016-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0.0
0016-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0.0
0016-F14,6.1.3.0,226-001-BARNES-F14,5,PS,67.91128203
001e-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0
001e-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0.0
001e-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0.0
001e-F14,1.0.4.0,226-001-BARNES-F14,2,PS,40.78947368
