student,currProb,course,session,priorTutorAction,reward,Level,probDiff
0035-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0,4,-1
0035-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0,4,-1
0035-F14,4.-1.3.0,226-001-BARNES-F14,3,PS,0,4,-1
0035-F14,4.-1.3.1,226-001-BARNES-F14,5,PS,0,4,-1
0035-F14,4.-1.3.1,226-001-BARNES-F14,5,PS,0,4,-1
0035-F14,5.-1.3.0,226-001-BARNES-F14,5,WE,0,5,-1
0035-F14,5.-1.4.1,226-001-BARNES-F14,5,PS,0,5,-1
0035-F14,5.-1.1.0,226-001-BARNES-F14,5,PS,0,5,-1
0035-F14,5.-1.2.0,226-001-BARNES-F14,5,PS,0,5,-1
0035-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,12.5,5,-1
0035-F14,6.-1.2.1,226-001-BARNES-F14,5,PS,0,6,-1
0035-F14,6.-1.3.0,226-001-BARNES-F14,6,WE,0,6,-1
0035-F14,6.-1.1.1,226-001-BARNES-F14,6,PS,0,6,-1
0035-F14,6.-1.4.0,226-001-BARNES-F14,6,PS,54.52702703,6,-1
0039-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0039-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0,1,0
0039-F14,1.0.3.0,226-001-BARNES-F14,2,WE,0,1,0
0039-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-34.86842105,1,0
0039-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0,2,1
0039-F14,2.1.2.0,226-001-BARNES-F14,2,PS,0,2,1
0039-F14,2.1.3.0,226-001-BARNES-F14,2,PS,102.5995135,2,1
0039-F14,3.1.1.0,226-001-BARNES-F14,3,WE,0,3,1
0039-F14,3.1.2.0,226-001-BARNES-F14,3,PS,0,3,1
0039-F14,3.1.3.0,226-001-BARNES-F14,3,PS,-126.7602187,3,1
0039-F14,4.1.1.0,226-001-BARNES-F14,3,WE,0,4,1
0039-F14,4.1.2.0,226-001-BARNES-F14,3,WE,0,4,1
0039-F14,4.1.3.0,226-001-BARNES-F14,3,PS,34.74341193,4,1
0039-F14,5.1.1.0,226-001-BARNES-F14,3,WE,0,5,1
0039-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0,5,1
0039-F14,5.1.3.0,226-001-BARNES-F14,3,PS,0,5,1
0039-F14,5.-1.3.0,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0,5,-1
0039-F14,5.-1.4.1,226-001-BARNES-F14,4,PS,0,5,-1
0039-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,0,5,-1
0039-F14,5.-1.4.1,226-001-BARNES-F14,5,PS,0,5,-1
0039-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,-75.71428571,5,-1
0039-F14,6.-1.1.0,226-001-BARNES-F14,5,PS,0,6,-1
0039-F14,6.-1.2.0,226-001-BARNES-F14,5,PS,0,6,-1
0039-F14,6.-1.3.0,226-001-BARNES-F14,5,WE,0,6,-1
0039-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0,6,-1
003a-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,1,0
003a-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,1,0
003a-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0,1,0
003a-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-58.55263158,1,0
003a-F14,2.-1.1.0,226-001-BARNES-F14,2,WE,0,2,-1
003a-F14,2.-1.2.0,226-001-BARNES-F14,2,WE,0,2,-1
003a-F14,2.-1.3.0,226-001-BARNES-F14,2,PS,0,2,-1
003a-F14,2.-1.4.0,226-001-BARNES-F14,2,PS,5.004244482,2,-1
003a-F14,3.1.1.0,226-001-BARNES-F14,2,PS,0,3,1
003a-F14,3.1.2.0,226-001-BARNES-F14,2,WE,0,3,1
003a-F14,3.1.3.0,226-001-BARNES-F14,2,PS,144.033824,3,1
003a-F14,4.1.1.0,226-001-BARNES-F14,2,WE,0,4,1
003a-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0,4,1
003a-F14,4.1.3.0,226-001-BARNES-F14,3,PS,0,4,1
003a-F14,4.1.2.0,226-001-BARNES-F14,4,PS,-139.7711512,4,1
003a-F14,5.1.1.0,226-001-BARNES-F14,4,PS,0,5,1
