0,1,2,3,4,5
9.94666345063,-383.827325162,45.4518840511,146.856123295,43.2469729274,-23.2448064531
-349.868326663,205.496507784,-131.108528552,36.6812396695,36.4249801622,-8.22163564725
-338.929183628,107.607368791,-101.074511361,-61.4701545396,59.5773863151,-9.47091335367
109.656147614,-183.778859032,10.7415125449,155.437116144,58.2564595051,36.5218574907
186.367328583,-317.708408918,-58.0114440225,2.6590430365,4.97519142912,-15.3001794745
-327.031986517,75.6943403914,-60.5726319915,-21.7353310706,-99.2206748852,43.7009043618
-241.961964368,-578.304093,94.4827384124,-164.507048207,-89.7240595774,38.0838671526
-172.435566277,-1.87089462048,-42.2973618749,-8.76448705042,-126.977226763,32.5666339814
-301.230285998,-174.189202065,-46.8075377756,-7.70244545226,-11.1233503391,7.45773966709
-311.22731746,-98.8710438282,-55.848293602,-73.4609979607,-4.67919500809,12.7786502943
-66.5530382996,107.494737176,-103.923510694,40.2000747321,-26.1276458002,13.8290175972
-313.07685331,-79.8249137886,-71.2172225762,44.5669013331,-3.70781033529,-4.53691751947
201.369915956,-20.5107546289,-89.946160575,-127.462518294,42.5571677911,-0.813561337445
-180.364397964,31.6156629326,-13.9789865738,-97.9504452293,38.308878771,7.12415425415
-237.764624951,134.602813537,-18.8515681469,11.767666104,8.59453316484,-8.70231181383
-214.978316326,144.548140885,-120.735691438,34.2308641921,44.3939227137,-13.4890137079
-309.531661075,-93.5996942059,-40.1337617928,-80.1272419899,-28.9123303213,28.1393586987
899.180301055,-191.8489704,-166.7831885,275.13523813,-104.106794111,-108.247302907
1220.82026436,350.579269317,-276.633572097,-23.8188989687,31.2172908275,-59.3419818385
-331.497991727,257.169037913,1.77815111528,1.93150973684,-11.033315954,-4.12701415709
99.5463572663,-356.566162745,118.170183063,136.289123015,-4.88673358071,-56.1170446396
255.876285081,272.325565781,-196.481017156,19.0247762594,31.9005969512,-39.3391614854
-331.467029163,115.491565967,-52.2327276837,-72.5675482781,-8.46074095871,11.7056250861
126.517316273,-186.373878569,-11.5993859473,130.408316234,-19.6877010231,-26.4049247833
-275.645367429,-369.173334423,-7.56543185664,8.6969870583,-19.6112225945,3.34574074922
-332.849122877,72.1465023097,-98.0049499933,-6.65571439504,-14.6457334151,7.55790156394
144.383278176,-536.549274306,21.6349981521,-152.808201352,36.982032782,-8.43362129945
-294.206498283,-13.0305614501,-44.1000055821,8.67703519898,-18.4828869294,-10.5890619552
252.722988398,-521.910116257,18.6339742415,-162.470563159,23.7091021777,-44.4949528744
21.2167627039,27.1121530221,-51.0886114647,1.5222022781,-21.0103761514,-15.9600616307
-300.380397004,-174.450094367,-44.1787616471,-9.90206097541,-24.8677672238,16.6900320944
-310.194924619,-99.9411171541,-52.416375366,-79.1623093099,-37.934739192,29.6574537681
3.68753307766,108.850453336,-138.546159858,25.4442146517,-67.454542565,-9.72283769751
-264.248933314,-458.701018912,21.9922581305,-85.286713599,36.4410567648,-4.31075273754
-317.859694854,-42.4453961275,-69.9397545122,-49.4406685307,19.1995746026,5.08214147988
-55.9173830484,33.6952539804,-103.496539406,74.2685840269,-9.04806174302,-12.6132212273
-340.053882688,128.920819974,-115.507668394,35.0229049152,39.4581789688,-11.3650283194
193.997418233,-36.9324681684,-112.731343463,-76.5234564831,63.9552308586,-25.4996524374
-40.4067882775,-280.716095753,-12.9797799138,322.3882432,-9.15314347755,-72.1221086942
-346.504663837,174.11588431,-122.596621082,13.1251942413,13.1768799673,2.39519892044
-352.710140825,226.297023476,-131.578684676,1.46999603433,12.0494233625,6.21448324237
1726.81821355,-177.858442329,-33.9878932659,125.422069832,45.263126105,55.108822329
-250.196683253,218.246149379,-134.774849883,35.8980795545,40.6465310628,-13.1457628334
-336.58165141,110.919661132,-86.8815478748,-61.1261240798,57.8338038141,-10.3006684661
-161.413646188,-224.230026238,-20.865101321,143.139821079,32.1559288858,-36.0638726128
4754.97772163,184.459417486,-548.510903119,-113.144469333,-12.6462337426,-253.921634771
-270.595267729,160.407076734,290.654000174,3.42416051271,-91.2997142417,-53.7538167152
-185.342948446,-489.94676348,444.519626198,-126.639196179,-17.0076378552,-88.4392203063
782.718611057,173.981192479,171.145559455,-7.03534839954,-84.2188630621,-117.192672683
639.386172217,-68.1137900147,-154.410371996,-23.016970316,48.0101850757,-61.7850589609
-301.399125836,-87.0074871514,12.9080880117,-87.2357214074,-77.7465231115,35.9390516292
-148.770434516,109.000645699,-42.2834268939,33.6982323428,-76.3680986251,1.4833311796
412.491602804,-379.252944591,-38.8406505422,-91.3165480418,84.0433851718,-41.0192505633
-308.389284931,-30.3717036406,-7.34023178305,-56.5765407385,-25.4553827844,18.0048004551
398.920443423,101.153283081,-64.5152051309,66.4516386734,-32.3471059518,-8.00043657315
219.886622853,197.983448283,-136.059153239,30.0677126587,51.1321198136,3.81639971311
-299.774709004,-75.7860647453,16.6208365126,-64.3717412125,37.6977424746,-9.84294092959
215.724820219,-239.274958811,29.3596551617,322.188046386,-22.4633619465,-47.7808474205
